scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
VAL_INV_000001,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.9803921568627451,0.9803921568627452,1.0,ok,,VAL_INV_000001,M_3f7c7c74c57c,Valine(aq),0.00524345799931325,valine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
VAL_INV_000001,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.0196078431372549,0.0196078431372549,0.02,ok,,VAL_INV_000001,M_3f7c7c74c57c,Valine(aq),0.00524345799931325,valine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
VAL_INV_000001,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,VAL_INV_000001,M_3f7c7c74c57c,Valine(aq),0.00524345799931325,valine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
VAL_INV_000001,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,Valine(aq),0.0,0.0,0.0,ok,,VAL_INV_000001,M_3f7c7c74c57c,Valine(aq),0.00524345799931325,valine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
VAL_INV_000002,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.9764035801464606,0.9764035801464606,1.0,ok,,VAL_INV_000002,M_3f7c7c74c57c,Valine(aq),0.0009762080007931218,valine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
VAL_INV_000002,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.01952807160292921,0.01952807160292921,0.02,ok,,VAL_INV_000002,M_3f7c7c74c57c,Valine(aq),0.0009762080007931218,valine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
VAL_INV_000002,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040683482506102524,0.0040683482506102524,0.004166666666666667,ok,,VAL_INV_000002,M_3f7c7c74c57c,Valine(aq),0.0009762080007931218,valine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
VAL_INV_000002,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,Valine(aq),0.0,0.0,0.0,ok,,VAL_INV_000002,M_3f7c7c74c57c,Valine(aq),0.0009762080007931218,valine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
VAL_INV_000003,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.9724473257698542,0.9724473257698542,1.0,ok,,VAL_INV_000003,M_3f7c7c74c57c,Valine(aq),0.0015102500037755817,valine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
VAL_INV_000003,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.019448946515397084,0.019448946515397084,0.02,ok,,VAL_INV_000003,M_3f7c7c74c57c,Valine(aq),0.0015102500037755817,valine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
VAL_INV_000003,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.008103727714748784,0.008103727714748784,0.008333333333333333,ok,,VAL_INV_000003,M_3f7c7c74c57c,Valine(aq),0.0015102500037755817,valine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
VAL_INV_000003,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,Valine(aq),0.0,0.0,0.0,ok,,VAL_INV_000003,M_3f7c7c74c57c,Valine(aq),0.0015102500037755817,valine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
VAL_INV_000004,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.9685230024213075,0.9685230024213075,1.0,ok,,VAL_INV_000004,M_3f7c7c74c57c,Valine(aq),0.0009164169896394014,valine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
VAL_INV_000004,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.01937046004842615,0.019370460048426155,0.02,ok,,VAL_INV_000004,M_3f7c7c74c57c,Valine(aq),0.0009164169896394014,valine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
VAL_INV_000004,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,C2H2(aq),0.012106537530266345,0.012106537530266345,0.0125,ok,,VAL_INV_000004,M_3f7c7c74c57c,Valine(aq),0.0009164169896394014,valine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
VAL_INV_000004,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,Valine(aq),0.0,0.0,0.0,ok,,VAL_INV_000004,M_3f7c7c74c57c,Valine(aq),0.0009164169896394014,valine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
VAL_INV_000005,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,H2O(l),0.9646302250803859,0.9646302250803859,1.0,ok,,VAL_INV_000005,M_3f7c7c74c57c,Valine(aq),0.0008831670129438862,valine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
VAL_INV_000005,single_product_sensitivity,M_3f7c7c74c57c.yaml,Valine(aq),0.0,273.15,101325.0,HCN(aq),0.01929260450160772,0.01929260450160772,0.02,ok,,VAL_INV_000005,M_3f7c7c74c57c,Valine(aq),0.0008831670129438862,valine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
