scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
PRO_DG_000001,single_product_sensitivity,M_dd4cf420b818.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.930232558139535,1.0,ok,,PRO_DG_000001,M_dd4cf420b818,Proline__dG_m200(aq),0.0066557499958435,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0320000000000005,0.9600000000000005,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000001,single_product_sensitivity,M_dd4cf420b818.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.376669546435156e-110,0.02,ok,,PRO_DG_000001,M_dd4cf420b818,Proline__dG_m200(aq),0.0066557499958435,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0320000000000005,1.4207229719210816e-110,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000001,single_product_sensitivity,M_dd4cf420b818.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.001937984496124,0.042,ok,,PRO_DG_000001,M_dd4cf420b818,Proline__dG_m200(aq),0.0066557499958435,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0320000000000005,0.001999999999999969,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000001,single_product_sensitivity,M_dd4cf420b818.yaml,Proline(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0484496124031007,0.05,ok,,PRO_DG_000001,M_dd4cf420b818,Proline__dG_m200(aq),0.0066557499958435,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0320000000000005,0.04999999999999995,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000001,single_product_sensitivity,M_dd4cf420b818.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m200(aq),0.0,0.0193798449612403,0.0,ok,,PRO_DG_000001,M_dd4cf420b818,Proline__dG_m200(aq),0.0066557499958435,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0320000000000005,0.019999999999999997,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000002,single_product_sensitivity,M_d2fed00085c2.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.930232558139535,1.0,ok,,PRO_DG_000002,M_d2fed00085c2,Proline__dG_m160(aq),0.006134249997558,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0320000000000005,0.9600000000000005,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000002,single_product_sensitivity,M_d2fed00085c2.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,6.136278568452611e-103,0.02,ok,,PRO_DG_000002,M_d2fed00085c2,Proline__dG_m160(aq),0.006134249997558,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0320000000000005,6.332639482643098e-103,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000002,single_product_sensitivity,M_d2fed00085c2.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.001937984496124,0.042,ok,,PRO_DG_000002,M_d2fed00085c2,Proline__dG_m160(aq),0.006134249997558,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0320000000000005,0.001999999999999969,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000002,single_product_sensitivity,M_d2fed00085c2.yaml,Proline(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0484496124031007,0.05,ok,,PRO_DG_000002,M_d2fed00085c2,Proline__dG_m160(aq),0.006134249997558,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0320000000000005,0.04999999999999995,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000002,single_product_sensitivity,M_d2fed00085c2.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m160(aq),0.0,0.0193798449612403,0.0,ok,,PRO_DG_000002,M_d2fed00085c2,Proline__dG_m160(aq),0.006134249997558,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0320000000000005,0.019999999999999997,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000003,single_product_sensitivity,M_4650e199e97b.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.930232558139535,1.0,ok,,PRO_DG_000003,M_4650e199e97b,Proline__dG_m120(aq),0.008396665987675,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0320000000000005,0.9600000000000005,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000003,single_product_sensitivity,M_4650e199e97b.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,2.7351454637221598e-95,0.02,ok,,PRO_DG_000003,M_4650e199e97b,Proline__dG_m120(aq),0.008396665987675,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0320000000000005,2.8226701185612703e-95,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000003,single_product_sensitivity,M_4650e199e97b.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.001937984496124,0.042,ok,,PRO_DG_000003,M_4650e199e97b,Proline__dG_m120(aq),0.008396665987675,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0320000000000005,0.001999999999999969,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000003,single_product_sensitivity,M_4650e199e97b.yaml,Proline(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0484496124031007,0.05,ok,,PRO_DG_000003,M_4650e199e97b,Proline__dG_m120(aq),0.008396665987675,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0320000000000005,0.04999999999999995,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000003,single_product_sensitivity,M_4650e199e97b.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m120(aq),0.0,0.0193798449612403,0.0,ok,,PRO_DG_000003,M_4650e199e97b,Proline__dG_m120(aq),0.008396665987675,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0320000000000005,0.019999999999999997,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000004,single_product_sensitivity,M_21063c3a787a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.930232558139535,1.0,ok,,PRO_DG_000004,M_21063c3a787a,Proline__dG_m080(aq),0.0067834170040441,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0320000000000005,0.9600000000000005,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000004,single_product_sensitivity,M_21063c3a787a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.2191463055304325e-87,0.02,ok,,PRO_DG_000004,M_21063c3a787a,Proline__dG_m080(aq),0.0067834170040441,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0320000000000005,1.258158987307407e-87,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000004,single_product_sensitivity,M_21063c3a787a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.001937984496124,0.042,ok,,PRO_DG_000004,M_21063c3a787a,Proline__dG_m080(aq),0.0067834170040441,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0320000000000005,0.001999999999999969,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
PRO_DG_000004,single_product_sensitivity,M_21063c3a787a.yaml,Proline(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0484496124031007,0.05,ok,,PRO_DG_000004,M_21063c3a787a,Proline__dG_m080(aq),0.0067834170040441,proline,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0320000000000005,0.04999999999999995,1.2909570053780883e-15,C:1.03200000e+00;H:1.03200000e+00;N:1.03200000e+00;O:1.03200000e+00
