case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
THR_DG_000001,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m200(aq),M_94aecd2438b9,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049785419978434
THR_DG_000002,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m160(aq),M_8fb51f4c70bb,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0057156249968102
THR_DG_000003,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m120(aq),M_25af2a4f8037,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004883333996986
THR_DG_000004,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m080(aq),M_9c0882dbf10d,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0053718330018455
THR_DG_000005,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m040(aq),M_3e1eef217b08,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0051629590016091
THR_DG_000006,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_000(aq),M_2b9981fcb4d2,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048087920004036
THR_DG_000007,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p040(aq),M_0e7d4508245f,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0054012499895179
THR_DG_000008,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p080(aq),M_e0ccaf07d54d,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047824579960433
THR_DG_000009,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p120(aq),M_9dd79293b418,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0054669169912813
THR_DG_000010,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p160(aq),M_bb3bfc4e9f01,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0112980410049203
THR_DG_000011,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p200(aq),M_2923a1d93922,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0061312920006457
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_2f9766376563,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0060680840106215
