study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
serine,deltaG_sweep,Serine(aq),Serine__dG_m200(aq),M_c68cdd0d8195,0.0,101325.0,0.0056588330044178,1.0,0.02,0.042,0.05,2.1,-200.0,SER_DG_000001,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m160(aq),M_1b087787f2c4,0.0,101325.0,0.0061345840076683,1.0,0.02,0.042,0.05,2.1,-160.0,SER_DG_000002,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m120(aq),M_101c1b6765c1,0.0,101325.0,0.005663584001013,1.0,0.02,0.042,0.05,2.1,-120.0,SER_DG_000003,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m080(aq),M_e5ca8ea2701e,0.0,101325.0,0.0058297089999541,1.0,0.02,0.042,0.05,2.1,-80.0,SER_DG_000004,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m040(aq),M_37f5ed544d3c,0.0,101325.0,0.0056729579955572,1.0,0.02,0.042,0.05,2.1,-40.0,SER_DG_000005,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_000(aq),M_e47b82f180a4,0.0,101325.0,0.0054947919998085,1.0,0.02,0.042,0.05,2.1,0.0,SER_DG_000006,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p040(aq),M_b8c42041f6f5,0.0,101325.0,0.0060692909901263,1.0,0.02,0.042,0.05,2.1,40.0,SER_DG_000007,0.0112359550561797,-1.9493900066449157,0.011999999999999936,-1.9208187539523776,True,significant,ok,nan,2.91069706830565e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p080(aq),M_9bd8fdbaf4c4,0.0,101325.0,0.0057133329974021,1.0,0.02,0.042,0.05,2.1,80.0,SER_DG_000008,0.0112359550551875,-1.9493900066832663,0.011999999998982198,-1.9208187539892108,True,significant,ok,nan,3.118604001745156e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p120(aq),M_b80f25520713,0.0,101325.0,0.0057632079988252,1.0,0.02,0.042,0.05,2.1,120.0,SER_DG_000009,0.0112359165051101,-1.9493914967314672,0.011999960456581601,-1.920820185078767,True,significant,ok,nan,2.07906905224796e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p160(aq),M_489a8d50ec60,0.0,101325.0,0.0055213330051628,1.0,0.02,0.042,0.05,2.1,160.0,SER_DG_000010,0.0098726928399788,-2.0055643745809593,0.010594900381874875,-1.9749031223704052,True,significant,ok,nan,2.6898144700202976e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p200(aq),M_4f87fa912f31,0.0,101325.0,0.0057639170117909,1.0,0.02,0.042,0.05,2.1,200.0,SER_DG_000011,9.1075153309728e-09,-8.040600089023593,1.0127556709839873e-08,-7.9944953162804815,True,trace,ok,nan,2.5958452881479288e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0066690840030787,1.0,0.02,0.042,0.01,2.1,0.0,SER_INV_000001,0.0116731517509727,-1.9328118686116345,0.01199999999999995,-1.920818753952377,True,significant,ok,nan,3.239950460968352e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010545409895712,1.0,0.02,0.042,0.02,2.1,0.0,SER_INV_000002,0.0115606936416184,-1.9370161074648178,0.011999999999999922,-1.920818753952378,True,significant,ok,nan,3.850484478468744e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.001019624993205,1.0,0.02,0.042,0.03,2.1,0.0,SER_INV_000003,0.0114503816793893,-1.9411800366000835,0.011999999999999993,-1.9208187539523753,True,significant,ok,nan,1.6949969841605436e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.001616167006432,1.0,0.02,0.042,0.04,2.1,0.0,SER_INV_000004,0.0113421550094517,-1.9453044216515458,0.01199999999999992,-1.920818753952378,True,significant,ok,nan,3.14808041009023e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010401670006103,1.0,0.02,0.042,0.05,2.1,0.0,SER_INV_000005,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010362500033807,1.0,0.02,0.042,0.1,2.1,0.0,SER_INV_000006,0.0107334525939177,-1.96926055750278,0.01199999999999999,-1.9208187539523756,True,significant,ok,nan,2.1846964706398427e-15,False
