scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
PHE_DG_000001,single_product_sensitivity,M_547d0809b1c6.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_DG_000001,M_547d0809b1c6,Phenylalanine__dG_m200(aq),0.0058439999993424,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.04709090909091,0.9770909090909099,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000001,single_product_sensitivity,M_547d0809b1c6.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0008682062858135,0.02,ok,,PHE_DG_000001,M_547d0809b1c6,Phenylalanine__dG_m200(aq),0.0058439999993424,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.04709090909091,0.0009090909090909001,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000001,single_product_sensitivity,M_547d0809b1c6.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,5.264726978367339e-50,0.042,ok,,PHE_DG_000001,M_547d0809b1c6,Phenylalanine__dG_m200(aq),0.0058439999993424,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.04709090909091,5.512647757894096e-50,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000001,single_product_sensitivity,M_547d0809b1c6.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0550442785205764,0.05,ok,,PHE_DG_000001,M_547d0809b1c6,Phenylalanine__dG_m200(aq),0.0058439999993424,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.04709090909091,0.0576363636363636,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000001,single_product_sensitivity,M_547d0809b1c6.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine__dG_m200(aq),0.0,0.0109393992012502,0.0,ok,,PHE_DG_000001,M_547d0809b1c6,Phenylalanine__dG_m200(aq),0.0058439999993424,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.04709090909091,0.011454545454545446,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000002,single_product_sensitivity,M_4cbe92d859dd.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_DG_000002,M_4cbe92d859dd,Phenylalanine__dG_m160(aq),0.0058401249989401,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.04709090909091,0.9770909090909099,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000002,single_product_sensitivity,M_4cbe92d859dd.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0008682062858135,0.02,ok,,PHE_DG_000002,M_4cbe92d859dd,Phenylalanine__dG_m160(aq),0.0058401249989401,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.04709090909091,0.0009090909090909001,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000002,single_product_sensitivity,M_4cbe92d859dd.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,6.419297015271845e-48,0.042,ok,,PHE_DG_000002,M_4cbe92d859dd,Phenylalanine__dG_m160(aq),0.0058401249989401,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.04709090909091,6.72158754744556e-48,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000002,single_product_sensitivity,M_4cbe92d859dd.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0550442785205764,0.05,ok,,PHE_DG_000002,M_4cbe92d859dd,Phenylalanine__dG_m160(aq),0.0058401249989401,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.04709090909091,0.0576363636363636,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000002,single_product_sensitivity,M_4cbe92d859dd.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine__dG_m160(aq),0.0,0.0109393992012502,0.0,ok,,PHE_DG_000002,M_4cbe92d859dd,Phenylalanine__dG_m160(aq),0.0058401249989401,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.04709090909091,0.011454545454545446,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000003,single_product_sensitivity,M_1e4e71d018b2.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_DG_000003,M_1e4e71d018b2,Phenylalanine__dG_m120(aq),0.0058260410005459,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.04709090909091,0.9770909090909099,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000003,single_product_sensitivity,M_1e4e71d018b2.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0008682062858135,0.02,ok,,PHE_DG_000003,M_1e4e71d018b2,Phenylalanine__dG_m120(aq),0.0058260410005459,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.04709090909091,0.0009090909090909001,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000003,single_product_sensitivity,M_1e4e71d018b2.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,7.827062099404375e-46,0.042,ok,,PHE_DG_000003,M_1e4e71d018b2,Phenylalanine__dG_m120(aq),0.0058260410005459,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.04709090909091,8.195645569176333e-46,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000003,single_product_sensitivity,M_1e4e71d018b2.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0550442785205764,0.05,ok,,PHE_DG_000003,M_1e4e71d018b2,Phenylalanine__dG_m120(aq),0.0058260410005459,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.04709090909091,0.0576363636363636,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000003,single_product_sensitivity,M_1e4e71d018b2.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine__dG_m120(aq),0.0,0.0109393992012502,0.0,ok,,PHE_DG_000003,M_1e4e71d018b2,Phenylalanine__dG_m120(aq),0.0058260410005459,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.04709090909091,0.011454545454545446,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000004,single_product_sensitivity,M_857ea6b6e263.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_DG_000004,M_857ea6b6e263,Phenylalanine__dG_m080(aq),0.0055443339952034,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.04709090909091,0.9770909090909099,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000004,single_product_sensitivity,M_857ea6b6e263.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0008682062858135,0.02,ok,,PHE_DG_000004,M_857ea6b6e263,Phenylalanine__dG_m080(aq),0.0055443339952034,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.04709090909091,0.0009090909090909001,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000004,single_product_sensitivity,M_857ea6b6e263.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,9.543556324108998e-44,0.042,ok,,PHE_DG_000004,M_857ea6b6e263,Phenylalanine__dG_m080(aq),0.0055443339952034,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.04709090909091,9.992971067371594e-44,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000004,single_product_sensitivity,M_857ea6b6e263.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0550442785205764,0.05,ok,,PHE_DG_000004,M_857ea6b6e263,Phenylalanine__dG_m080(aq),0.0055443339952034,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.04709090909091,0.0576363636363636,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000004,single_product_sensitivity,M_857ea6b6e263.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine__dG_m080(aq),0.0,0.0109393992012502,0.0,ok,,PHE_DG_000004,M_857ea6b6e263,Phenylalanine__dG_m080(aq),0.0055443339952034,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.04709090909091,0.011454545454545446,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000005,single_product_sensitivity,M_6e42f226d6ac.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_DG_000005,M_6e42f226d6ac,Phenylalanine__dG_m040(aq),0.0055040410079527,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.04709090909091,0.9770909090909099,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000005,single_product_sensitivity,M_6e42f226d6ac.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,0.0008682062858135,0.02,ok,,PHE_DG_000005,M_6e42f226d6ac,Phenylalanine__dG_m040(aq),0.0055040410079527,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.04709090909091,0.0009090909090909001,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000005,single_product_sensitivity,M_6e42f226d6ac.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,1.163648203150636e-41,0.042,ok,,PHE_DG_000005,M_6e42f226d6ac,Phenylalanine__dG_m040(aq),0.0055040410079527,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.04709090909091,1.2184454548990033e-41,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
PHE_DG_000005,single_product_sensitivity,M_6e42f226d6ac.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0550442785205764,0.05,ok,,PHE_DG_000005,M_6e42f226d6ac,Phenylalanine__dG_m040(aq),0.0055040410079527,phenylalanine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.04709090909091,0.0576363636363636,1.9085271650962043e-15,C:1.04709091e+00;H:1.04709091e+00;N:1.04709091e+00;O:1.04709091e+00
