scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
THR_DG_000001,single_product_sensitivity,M_66287c59ec03.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9121298949379176,1.0,ok,,THR_DG_000001,M_66287c59ec03,Threonine__dG_m200(aq),0.0059321660082787,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0470000000000006,0.9550000000000003,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000001,single_product_sensitivity,M_66287c59ec03.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,6.053249755984246e-66,0.02,ok,,THR_DG_000001,M_66287c59ec03,Threonine__dG_m200(aq),0.0059321660082787,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0470000000000006,6.337752494515509e-66,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000001,single_product_sensitivity,M_66287c59ec03.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0210124164278892,0.042,ok,,THR_DG_000001,M_66287c59ec03,Threonine__dG_m200(aq),0.0059321660082787,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0470000000000006,0.022000000000000002,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000001,single_product_sensitivity,M_66287c59ec03.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.052531041069723,0.05,ok,,THR_DG_000001,M_66287c59ec03,Threonine__dG_m200(aq),0.0059321660082787,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0470000000000006,0.055000000000000014,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000001,single_product_sensitivity,M_66287c59ec03.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m200(aq),0.0,0.0143266475644699,0.0,ok,,THR_DG_000001,M_66287c59ec03,Threonine__dG_m200(aq),0.0059321660082787,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0470000000000006,0.014999999999999993,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000002,single_product_sensitivity,M_972c5f483af4.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9121298949379176,1.0,ok,,THR_DG_000002,M_972c5f483af4,Threonine__dG_m160(aq),0.0056249580084113,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0470000000000006,0.9550000000000003,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000002,single_product_sensitivity,M_972c5f483af4.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,3.3021372051529423e-60,0.02,ok,,THR_DG_000002,M_972c5f483af4,Threonine__dG_m160(aq),0.0056249580084113,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0470000000000006,3.4573376537951325e-60,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000002,single_product_sensitivity,M_972c5f483af4.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0210124164278892,0.042,ok,,THR_DG_000002,M_972c5f483af4,Threonine__dG_m160(aq),0.0056249580084113,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0470000000000006,0.022000000000000002,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000002,single_product_sensitivity,M_972c5f483af4.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.052531041069723,0.05,ok,,THR_DG_000002,M_972c5f483af4,Threonine__dG_m160(aq),0.0056249580084113,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0470000000000006,0.055000000000000014,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000002,single_product_sensitivity,M_972c5f483af4.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m160(aq),0.0,0.0143266475644699,0.0,ok,,THR_DG_000002,M_972c5f483af4,Threonine__dG_m160(aq),0.0056249580084113,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0470000000000006,0.014999999999999993,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000003,single_product_sensitivity,M_ba06fb558436.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9121298949379176,1.0,ok,,THR_DG_000003,M_ba06fb558436,Threonine__dG_m120(aq),0.0058017910050693,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0470000000000006,0.9550000000000003,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000003,single_product_sensitivity,M_ba06fb558436.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.801364723173215e-54,0.02,ok,,THR_DG_000003,M_ba06fb558436,Threonine__dG_m120(aq),0.0058017910050693,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0470000000000006,1.8860288651623573e-54,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000003,single_product_sensitivity,M_ba06fb558436.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0210124164278892,0.042,ok,,THR_DG_000003,M_ba06fb558436,Threonine__dG_m120(aq),0.0058017910050693,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0470000000000006,0.022000000000000002,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000003,single_product_sensitivity,M_ba06fb558436.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.052531041069723,0.05,ok,,THR_DG_000003,M_ba06fb558436,Threonine__dG_m120(aq),0.0058017910050693,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0470000000000006,0.055000000000000014,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
THR_DG_000003,single_product_sensitivity,M_ba06fb558436.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m120(aq),0.0,0.0143266475644699,0.0,ok,,THR_DG_000003,M_ba06fb558436,Threonine__dG_m120(aq),0.0058017910050693,threonine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0470000000000006,0.014999999999999993,4.2415397311371764e-16,C:1.04700000e+00;H:1.04700000e+00;N:1.04700000e+00;O:1.04700000e+00
