scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
GLU_INV_000001,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,GLU_INV_000001,M_d8159ac2501c,GlutamicAcid(aq),0.006171041997731663,glutamicacid,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,GLU_INV_000001,M_d8159ac2501c,GlutamicAcid(aq),0.006171041997731663,glutamicacid,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,GLU_INV_000001,M_d8159ac2501c,GlutamicAcid(aq),0.006171041997731663,glutamicacid,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,GLU_INV_000001,M_d8159ac2501c,GlutamicAcid(aq),0.006171041997731663,glutamicacid,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid(aq),0.0,0.0,0.0,ok,,GLU_INV_000001,M_d8159ac2501c,GlutamicAcid(aq),0.006171041997731663,glutamicacid,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000002,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.9705159705159706,1.0,ok,,GLU_INV_000002,M_d8159ac2501c,GlutamicAcid(aq),0.0011012080067303032,glutamicacid,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.012489762489762494,0.02,ok,,GLU_INV_000002,M_d8159ac2501c,GlutamicAcid(aq),0.0011012080067303032,glutamicacid,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,1.2508986904708821e-56,0.004166666666666667,ok,,GLU_INV_000002,M_d8159ac2501c,GlutamicAcid(aq),0.0011012080067303032,glutamicacid,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.013923013923013924,0.01,ok,,GLU_INV_000002,M_d8159ac2501c,GlutamicAcid(aq),0.0011012080067303032,glutamicacid,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_d8159ac2501c.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid(aq),0.0,0.0030712530712530715,0.0,ok,,GLU_INV_000002,M_d8159ac2501c,GlutamicAcid(aq),0.0011012080067303032,glutamicacid,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
