scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441956,1.0,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.0050107499992009,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0,0.9820000000000018,0.9600000000000019,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0188323917137476,1.1861102989864958e-110,0.02,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.0050107499992009,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0,0.9820000000000018,1.164760313604741e-110,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887,0.0020366598778004,0.042,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.0050107499992009,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0,0.9820000000000018,0.0019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m200(aq),0.0,0.020366598778004,0.0,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.0050107499992009,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0,0.9820000000000018,0.019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441956,1.0,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.0046086249931249,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0,0.9820000000000018,0.9600000000000019,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0188323917137476,5.28689199693733e-103,0.02,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.0046086249931249,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0,0.9820000000000018,5.191727940992467e-103,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887,0.0020366598778004,0.042,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.0046086249931249,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0,0.9820000000000018,0.0019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m160(aq),0.0,0.020366598778004,0.0,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.0046086249931249,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0,0.9820000000000018,0.019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000003,single_product_sensitivity,M_0d887b96b030.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441956,1.0,ok,,PRO_DG_000003,M_0d887b96b030,Proline__dG_m120(aq),0.0045896250085206,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0,0.9820000000000018,0.9600000000000019,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000003,single_product_sensitivity,M_0d887b96b030.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0188323917137476,2.356545341834943e-95,0.02,ok,,PRO_DG_000003,M_0d887b96b030,Proline__dG_m120(aq),0.0045896250085206,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0,0.9820000000000018,2.314127525681918e-95,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000003,single_product_sensitivity,M_0d887b96b030.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887,0.0020366598778004,0.042,ok,,PRO_DG_000003,M_0d887b96b030,Proline__dG_m120(aq),0.0045896250085206,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0,0.9820000000000018,0.0019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000003,single_product_sensitivity,M_0d887b96b030.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m120(aq),0.0,0.020366598778004,0.0,ok,,PRO_DG_000003,M_0d887b96b030,Proline__dG_m120(aq),0.0045896250085206,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0,0.9820000000000018,0.019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000004,single_product_sensitivity,M_42895e6bd8b7.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441956,1.0,ok,,PRO_DG_000004,M_42895e6bd8b7,Proline__dG_m080(aq),0.004927083995426,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0,0.9820000000000018,0.9600000000000019,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000004,single_product_sensitivity,M_42895e6bd8b7.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0188323917137476,1.050391345074666e-87,0.02,ok,,PRO_DG_000004,M_42895e6bd8b7,Proline__dG_m080(aq),0.004927083995426,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0,0.9820000000000018,1.031484300863324e-87,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000004,single_product_sensitivity,M_42895e6bd8b7.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887,0.0020366598778004,0.042,ok,,PRO_DG_000004,M_42895e6bd8b7,Proline__dG_m080(aq),0.004927083995426,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0,0.9820000000000018,0.0019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000004,single_product_sensitivity,M_42895e6bd8b7.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m080(aq),0.0,0.020366598778004,0.0,ok,,PRO_DG_000004,M_42895e6bd8b7,Proline__dG_m080(aq),0.004927083995426,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0,0.9820000000000018,0.019999999999999966,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000005,single_product_sensitivity,M_66e816dcc08b.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441956,1.0,ok,,PRO_DG_000005,M_66e816dcc08b,Proline__dG_m040(aq),0.0046226670092437,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-40.0,0.9820000000000018,0.9600000000000019,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
PRO_DG_000005,single_product_sensitivity,M_66e816dcc08b.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.0188323917137476,4.681947326449388e-80,0.02,ok,,PRO_DG_000005,M_66e816dcc08b,Proline__dG_m040(aq),0.0046226670092437,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-40.0,0.9820000000000018,4.597672274573307e-80,3.504777368979612e-15,C:9.82000000e-01;H:9.82000000e-01;N:9.82000000e-01;O:9.82000000e-01
